Model Name,BLEU,BERT,CHRF,Date,Notes
m4t_eng-rus,"{'score': 6.04212728640804, 'bp': 1.0}","{'f1': 0.3002631309628487, 'precision': 0.34643837451934817, 'recall': 0.2709293404221535}",0.12867261469364166,2024-03-16 23:20:55.298945,-
m4t_rus-eng,"{'score': 26.653140842792002, 'bp': 1.0}","{'f1': 0.6828700283169746, 'precision': 0.6770124441385269, 'recall': 0.6922637817263603}",0.4736509919166565,2024-03-16 23:28:50.469143,-
petrai_eng-rus,"{'score': 10.485407459705574, 'bp': 0.6155390135115185}","{'f1': 0.8073497071862221, 'precision': 0.8258137845993042, 'recall': 0.7910110958417257}",0.33017992973327637,2024-03-16 23:48:41.680797,prefix; 150
petrai_rus-eng,"{'score': 19.892311616442232, 'bp': 1.0}","{'f1': 0.7465524327754974, 'precision': 0.7438921511173249, 'recall': 0.7507855339845022}",0.44692230224609375,2024-03-16 23:53:22.670431,prefix; 150
helsinki_eng-rus,"{'score': 27.377132888657798, 'bp': 1.0}","{'f1': 0.8511918946107229, 'precision': 0.8519561421871186, 'recall': 0.8510083373387655}",0.5395652055740356,2024-03-16 23:54:34.818347,-
helsinki_rus-eng,"{'score': 31.106940172331413, 'bp': 0.9887984884587561}","{'f1': 0.8155720790227254, 'precision': 0.8174966907501221, 'recall': 0.8144553315639496}",0.5563302040100098,2024-03-16 23:55:46.489792,-
-,-,-,-,-,-
petrai_eng-rus,"{'score': 16.04881730863709, 'bp': 0.72807959029209}","{'f1': 0.819848781252479, 'precision': 0.8330151275460259, 'recall': 0.8088033711894369}",0.39151978492736816,2024-03-17 13:50:05.134985,v2; prefix; 3003
petrai_eng-rus,"{'score': 16.04881730863709, 'bp': 0.72807959029209}","{'f1': 0.8198487794810123, 'precision': 0.8330151271887553, 'recall': 0.8088033710405742}",0.39151978492736816,2024-03-17 22:48:16.949139,v2; no prefix; 3003
petrai_rus-eng,"{'score': 21.9487486301127, 'bp': 1.0}","{'f1': 0.7555780216748819, 'precision': 0.7543295641918798, 'recall': 0.7583261056419535}",0.48187756538391113,2024-03-20 12:43:24.536034,v2; no prefix; 3003
helsinki_eng-rus,"{'score': 32.55036091770353, 'bp': 1.0}","{'f1': 0.8721592128177583, 'precision': 0.8717601895927788, 'recall': 0.873156823875346}",0.5804791450500488,2024-03-20 13:05:24.635392,3003
helsinki_rus-eng,"{'score': 31.794324017561436, 'bp': 1.0}","{'f1': 0.8206816147733759, 'precision': 0.8220407095425454, 'recall': 0.8205731709996661}",0.5712547898292542,2024-03-20 13:28:18.786603,3003
-,-,-,-,-,-
petrai_2_eng-rus,"{'score': 16.04881730863709, 'bp': 0.72807959029209}","{'f1': 0.8272491607354793, 'precision': 0.8420677298392767, 'recall': 0.8140345590137618}",0.39151978492736816,2024-03-23 21:06:29.208026,3003
petrai_2_rus-eng,"{'score': 21.9487486301127, 'bp': 1.0}","{'f1': 0.8458688440538826, 'precision': 0.845184796558314, 'recall': 0.8469363079244122}",0.48187756538391113,2024-03-23 22:18:59.390216,3003
prefixed_petrai_2_eng-rus,"{'score': 16.512087309816284, 'bp': 0.71784893351995}","{'f1': 0.8300000079425224, 'precision': 0.8453559271502487, 'recall': 0.8163089480473128}",0.3983020782470703,2024-03-24 13:03:22.152116,3003
prefixed_petrai_2_rus-eng,"{'score': 21.94760627397128, 'bp': 1.0}","{'f1': 0.8459632353031592, 'precision': 0.8458953829078407, 'recall': 0.8464193426486932}",0.4782560169696808,2024-03-24 14:11:02.666740,3003
petrai_3_eng-rus,"{'score': 16.51085122006118, 'bp': 0.7255750830122516}","{'f1': 0.8281962115725715, 'precision': 0.8432707282411548, 'recall': 0.8147415639637233}",0.3950207233428955,2024-03-24 17:17:14.886972,3003
petrai_3_rus-eng,"{'score': 21.246330920370653, 'bp': 0.9902139503925113}","{'f1': 0.8426964623190505, 'precision': 0.8447016271757277, 'recall': 0.8411684445726685}",0.46060681343078613,2024-03-24 18:21:53.699195,3003
prefixed_petrai_3_eng-rus,"{'score': 16.660887292312786, 'bp': 0.7134832257248825}","{'f1': 0.8302672862847805, 'precision': 0.8455144076040892, 'recall': 0.8166694333662083}",0.3995031416416168,2024-03-24 21:28:36.297538,3003
prefixed_petrai_3_rus-eng,"{'score': 20.969661622199688, 'bp': 0.9662244962516029}","{'f1': 0.8427351994828863, 'precision': 0.8460580995588591, 'recall': 0.8399202497133286}",0.4541012942790985,2024-03-24 22:32:29.008526,3003
m4t_eng-rus,"{'score': 40.630064322401836, 'bp': 1.0}","{'f1': 0.9039663699837951, 'precision': 0.9059572620190186, 'recall': 0.9022462191162529}",0.6388845443725586,2024-03-25 12:08:12.933397,3003
m4t_rus-eng,"{'score': 40.28302765039819, 'bp': 1.0}","{'f1': 0.9053782817128894, 'precision': 0.907148398798861, 'recall': 0.9038822403003326}",0.6297429203987122,2024-03-25 14:18:57.439315,3003
fair_eng-rus,"{'score': 43.13582798094347, 'bp': 1.0}","{'f1': 0.9039243246927049, 'precision': 0.905947776087673, 'recall': 0.9021944135496944}",0.6446738243103027,2024-03-25 14:55:09.844520,3003
fair_rus-eng,"{'score': 42.193505856761014, 'bp': 0.9840821289931747}","{'f1': 0.9111936731295629, 'precision': 0.9133334961129632, 'recall': 0.9093027797651974}",0.6448260545730591,2024-03-25 15:30:17.191125,3003
